UserId,Department/Region,Knowledge development and dissemination. ,Technical assistance and capacity-building of constituents. ,Advocacy and partnerships. 
USR-202506-0001,Region: Asia and the Pacific,YES,YES,YES
USR-202506-0001,Region: Asia and the Pacific,,,
USR-202506-0001,Region: Asia and the Pacific,,,
USR-202506-0002,Statistics,YES,,
USR-202506-0003,Region: Asia and the Pacific,YES,YES,
USR-202506-0003,Region: Asia and the Pacific,,,
USR-202506-0004,Region: Asia and the Pacific,,YES,YES
USR-202506-0004,Region: Asia and the Pacific,,,
USR-202506-0004,Region: Asia and the Pacific,,,
USR-202506-0004,Region: Asia and the Pacific,,,
USR-202506-0004,Region: Asia and the Pacific,,,
USR-202506-0005,Region: Arab States,,YES,YES
USR-202506-0006,Region: Arab States,,YES,YES
USR-202506-0006,Region: Arab States,,,
USR-202506-0006,Region: Arab States,,,
USR-202506-0006,Region: Arab States,,,
USR-202506-0006,Region: Arab States,,,
USR-202506-0006,Region: Arab States,,,
USR-202506-0008,Region: Europe and Central Asia,YES,YES,YES
USR-202506-0008,Region: Europe and Central Asia,,,
USR-202506-0008,Region: Europe and Central Asia,,,
USR-202506-0008,Region: Europe and Central Asia,,,
USR-202506-0008,Region: Europe and Central Asia,,,
USR-202506-0008,Region: Europe and Central Asia,,,
USR-202506-0009,Region: Africa,,YES,YES
USR-202506-0009,Region: Africa,,,
USR-202506-0009,Region: Africa,,,
USR-202506-0011,Research and Publications,YES,,
USR-202506-0012,International Training Centre of the ILO,,YES,
USR-202506-0012,International Training Centre of the ILO,,,
USR-202506-0012,International Training Centre of the ILO,,,
USR-202506-0012,International Training Centre of the ILO,,,
USR-202506-0012,International Training Centre of the ILO,,,
USR-202506-0012,International Training Centre of the ILO,,,
USR-202506-0012,International Training Centre of the ILO,,,
USR-202506-0012,International Training Centre of the ILO,,,
USR-202506-0012,International Training Centre of the ILO,,,
USR-202506-0012,International Training Centre of the ILO,,,
USR-202506-0013,Region: Europe and Central Asia,,,
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",YES,,
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,
USR-202506-0015,Communication and Public Information,YES,,YES
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0015,Communication and Public Information,,,
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,YES,
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,
